title,company,seniority_level,max_salary,company_size,work_type,company_rating,applies
DevOps Engineer,Salesforce,Entry,77734,201-1000,Remote,3.9,24
Sales Representative,Apple,Senior,104848,201-1000,Hybrid,4.1,40
Business Analyst,Meta,Senior,119114,51-200,Remote,5.0,47
Product Manager,Netflix,Director,221769,51-200,Hybrid,3.1,7
Product Manager,Amazon,Senior,204538,201-1000,Hybrid,4.6,129
Frontend Developer,Airbnb,Mid,126103,201-1000,Hybrid,2.8,85
Data Scientist,Netflix,Director,264092,1001-5000,Remote,2.8,128
Financial Analyst,Startup B,Director,168453,5001+,On-site,3.8,43
Data Scientist,Airbnb,Entry,78140,51-200,Hybrid,4.8,8
Software Engineer,IBM,Mid,114983,1-50,Remote,4.1,289
Financial Analyst,IBM,Senior,129935,51-200,Remote,2.8,9
Backend Developer,IBM,Entry,67520,5001+,Hybrid,3.8,59
Sales Representative,Apple,Entry,51755,5001+,On-site,5.0,73
Backend Developer,Startup A,Mid,101396,5001+,On-site,3.7,534
Sales Representative,Amazon,Mid,65172,1001-5000,Remote,3.0,464
Sales Representative,Apple,Entry,49055,1001-5000,On-site,3.8,59
Sales Representative,Google,Mid,75691,1-50,On-site,3.5,28
Backend Developer,Google,Lead,172951,1001-5000,Hybrid,4.0,15
Marketing Manager,Amazon,Mid,99314,1001-5000,Remote,3.6,122
Marketing Manager,IBM,Lead,173350,5001+,On-site,3.2,35
Operations Manager,Salesforce,Director,160685,1001-5000,Hybrid,3.5,40
Operations Manager,Google,Senior,141442,201-1000,Hybrid,3.9,32
Sales Representative,Airbnb,Director,152773,5001+,Hybrid,3.7,9
Business Analyst,Startup B,Mid,83574,5001+,On-site,3.5,38
Machine Learning Engineer,Uber,Mid,120487,1001-5000,Hybrid,3.9,17
UX Designer,Apple,Senior,137633,5001+,Hybrid,3.4,38
Frontend Developer,Uber,Senior,165961,1-50,Hybrid,4.1,87
Business Analyst,Startup B,Senior,114657,1001-5000,Hybrid,3.3,8
UX Designer,Microsoft,Director,228273,1-50,Remote,3.2,21
Frontend Developer,Mid-size Corp,Senior,173569,5001+,Hybrid,3.6,79
Frontend Developer,Startup B,Mid,100059,1001-5000,On-site,4.4,2
Product Manager,Microsoft,Entry,83643,5001+,Hybrid,4.0,89
Product Manager,Amazon,Senior,198539,1-50,Hybrid,3.0,17
Software Engineer,Uber,Lead,163424,51-200,Remote,3.9,3341
Data Scientist,Salesforce,Senior,193910,1001-5000,Hybrid,3.5,32
UX Designer,Mid-size Corp,Director,185330,1001-5000,On-site,4.5,105
Software Engineer,Startup A,Senior,175030,201-1000,Remote,3.4,12
Data Scientist,Mid-size Corp,Entry,85298,201-1000,Remote,3.5,32
Software Engineer,Meta,Lead,163277,5001+,Hybrid,3.8,1
HR Manager,Netflix,Mid,82102,1-50,Remote,4.4,10
Backend Developer,Apple,Lead,176663,51-200,Remote,3.2,16
Product Manager,Microsoft,Entry,85992,1001-5000,Hybrid,4.4,61
Sales Representative,Startup A,Lead,129811,201-1000,Hybrid,4.7,49
HR Manager,Enterprise Corp,Entry,57745,5001+,Remote,3.4,19
DevOps Engineer,Apple,Entry,76234,51-200,On-site,3.5,23
Machine Learning Engineer,Google,Senior,191829,201-1000,Hybrid,3.6,340
Sales Representative,Intel,Mid,83056,1001-5000,Hybrid,4.6,96
Data Scientist,Meta,Director,248063,51-200,Hybrid,3.3,5
DevOps Engineer,Amazon,Director,266432,1001-5000,Remote,3.4,63
Machine Learning Engineer,Meta,Director,252395,5001+,Remote,4.3,32
Frontend Developer,Uber,VP,337023,1-50,Hybrid,3.6,160
HR Manager,IBM,Mid,68068,1001-5000,Remote,3.8,4
Financial Analyst,Microsoft,Lead,143264,51-200,Remote,3.7,19
Financial Analyst,Airbnb,Lead,125618,51-200,Hybrid,3.3,11
DevOps Engineer,Oracle,Lead,200950,1001-5000,On-site,3.1,77
Sales Representative,Startup B,Director,132064,201-1000,Remote,3.8,27
UX Designer,Uber,Senior,154188,51-200,Remote,2.8,59
Marketing Manager,Apple,Entry,70186,201-1000,On-site,4.3,8
Backend Developer,Enterprise Corp,Senior,140011,51-200,Hybrid,2.8,92
Product Manager,Netflix,VP,323730,201-1000,Hybrid,3.7,80
HR Manager,Airbnb,Entry,51846,5001+,Remote,4.8,65
Frontend Developer,Netflix,Mid,119762,201-1000,Hybrid,3.9,64
DevOps Engineer,Meta,Director,229098,1001-5000,Remote,3.7,6
DevOps Engineer,Amazon,Mid,105304,201-1000,On-site,3.9,3
Frontend Developer,Uber,Senior,152411,5001+,Hybrid,4.3,140
Operations Manager,Microsoft,Entry,63974,201-1000,Hybrid,3.8,125
Product Manager,Microsoft,Mid,122085,1-50,On-site,2.9,9
Machine Learning Engineer,Enterprise Corp,Director,279023,201-1000,Remote,2.3,14
Data Scientist,Oracle,Mid,142842,201-1000,Hybrid,4.3,95
Product Manager,Startup B,Mid,111395,1001-5000,Hybrid,3.3,78
DevOps Engineer,Enterprise Corp,Senior,152114,201-1000,On-site,3.7,3
Frontend Developer,Startup B,Mid,120900,51-200,Hybrid,4.5,326
UX Designer,Netflix,Mid,100955,1001-5000,Remote,4.2,59
Backend Developer,Airbnb,Senior,150951,201-1000,Remote,3.1,36
Business Analyst,Mid-size Corp,Senior,123718,1001-5000,Hybrid,3.9,49
Machine Learning Engineer,Startup A,Senior,171730,51-200,Remote,3.3,81
Machine Learning Engineer,Enterprise Corp,Entry,83925,1001-5000,Hybrid,3.1,1825
HR Manager,IBM,Mid,81248,5001+,Hybrid,4.6,4
Financial Analyst,Airbnb,Mid,83799,5001+,On-site,1.1,2
Marketing Manager,Intel,VP,227964,1-50,Remote,4.9,1
Software Engineer,Enterprise Corp,Mid,116973,1001-5000,On-site,3.9,14
Financial Analyst,IBM,VP,250670,201-1000,Remote,4.4,7
Financial Analyst,Meta,Senior,126273,5001+,Hybrid,3.8,141
Frontend Developer,Airbnb,VP,288507,5001+,Hybrid,2.7,41
Backend Developer,Apple,Senior,175331,201-1000,Hybrid,3.3,35
Operations Manager,Microsoft,Senior,139257,1001-5000,Hybrid,2.7,19
Business Analyst,Uber,Mid,84117,1001-5000,Remote,2.9,3760
Backend Developer,IBM,Lead,210047,1001-5000,Hybrid,3.5,6
Operations Manager,Oracle,Lead,164129,201-1000,Hybrid,3.5,82
Financial Analyst,Airbnb,Senior,123918,51-200,Hybrid,4.3,7
UX Designer,Startup B,Mid,115748,1001-5000,Hybrid,3.1,19
HR Manager,Startup B,Entry,55850,5001+,Remote,4.1,44
Backend Developer,Salesforce,Lead,170323,201-1000,Hybrid,3.9,36
Software Engineer,IBM,Mid,137602,1-50,Hybrid,4.2,34
UX Designer,Startup A,Director,220156,201-1000,Remote,4.4,12
Frontend Developer,Airbnb,VP,308966,51-200,Hybrid,3.4,18
Software Engineer,Meta,Entry,69468,1001-5000,On-site,5.0,9
Machine Learning Engineer,Google,Entry,91159,1001-5000,Hybrid,3.7,6
Operations Manager,Enterprise Corp,Entry,51134,5001+,Hybrid,2.6,9
DevOps Engineer,Amazon,Senior,180328,1001-5000,On-site,3.8,67
Backend Developer,Google,Mid,118661,1001-5000,Remote,3.7,98
Frontend Developer,Uber,Entry,70068,201-1000,Remote,2.8,720
Operations Manager,Enterprise Corp,Senior,117342,201-1000,Hybrid,4.2,5
HR Manager,Netflix,Director,175324,201-1000,Hybrid,3.9,43
Frontend Developer,Amazon,Mid,108870,5001+,Hybrid,3.2,50
Software Engineer,Enterprise Corp,Senior,171476,1-50,Hybrid,4.1,148
Frontend Developer,Microsoft,Entry,69292,1001-5000,Hybrid,3.9,166
Financial Analyst,Intel,Entry,53597,201-1000,On-site,3.2,12
Operations Manager,Intel,Entry,52440,201-1000,Remote,4.3,10
Software Engineer,Oracle,Senior,179186,51-200,Hybrid,4.8,14
Software Engineer,Airbnb,Mid,136651,5001+,Hybrid,4.6,21
Marketing Manager,Enterprise Corp,Lead,141787,201-1000,On-site,4.4,59
Frontend Developer,Startup A,Senior,176474,1001-5000,On-site,5.0,127
DevOps Engineer,Google,Mid,125648,51-200,Hybrid,3.5,106
HR Manager,Salesforce,Senior,113319,201-1000,Remote,3.8,182
Product Manager,Amazon,Mid,136810,1001-5000,Remote,4.4,601
DevOps Engineer,Netflix,Entry,75638,51-200,Remote,3.9,31
Frontend Developer,Mid-size Corp,Senior,143185,1001-5000,Hybrid,3.5,2
DevOps Engineer,Startup A,Director,236410,201-1000,Remote,3.1,357
UX Designer,Meta,Senior,137038,201-1000,On-site,3.3,99
Software Engineer,Netflix,Lead,203522,1001-5000,Remote,4.7,1
Financial Analyst,Salesforce,Mid,90739,1001-5000,On-site,3.1,22
Sales Representative,Enterprise Corp,Entry,43423,51-200,Remote,4.5,149
Frontend Developer,Salesforce,Entry,72571,1001-5000,Remote,3.0,133
Machine Learning Engineer,Google,VP,431016,51-200,Remote,4.8,5
DevOps Engineer,Startup B,Mid,122549,5001+,On-site,3.5,13
Sales Representative,Amazon,Mid,81648,201-1000,Hybrid,4.0,73
Business Analyst,Intel,Senior,132053,1001-5000,On-site,4.5,55
Marketing Manager,Uber,Mid,85612,201-1000,On-site,4.0,136
Data Scientist,Oracle,Mid,129547,1-50,Remote,5.0,38
Marketing Manager,Enterprise Corp,Entry,62259,51-200,Hybrid,3.6,57
Product Manager,Amazon,Director,280902,51-200,Remote,3.2,10
Business Analyst,Amazon,Mid,84433,1001-5000,Hybrid,4.6,18
Frontend Developer,Microsoft,Lead,173313,1001-5000,Remote,4.1,4908
UX Designer,Amazon,Entry,65743,5001+,On-site,3.2,2
Marketing Manager,Startup A,Mid,94449,1-50,Hybrid,4.2,68
UX Designer,Microsoft,Senior,127941,201-1000,Hybrid,3.5,51
Business Analyst,Oracle,Mid,79518,51-200,Remote,5.0,105
DevOps Engineer,Meta,Entry,66598,1001-5000,Remote,3.9,36
Data Scientist,Startup A,Mid,107510,51-200,Remote,4.3,38
Operations Manager,Apple,VP,216332,51-200,On-site,3.7,45
HR Manager,IBM,VP,204256,201-1000,Remote,3.8,96
Software Engineer,Uber,Senior,185003,51-200,On-site,3.1,37
Financial Analyst,Apple,Mid,78549,201-1000,Remote,3.2,19
HR Manager,Microsoft,Lead,135690,1001-5000,Hybrid,3.2,208
Data Scientist,Airbnb,Entry,82340,1-50,Remote,3.0,316
UX Designer,Intel,Senior,145110,1001-5000,Hybrid,5.0,1
Operations Manager,Google,Lead,135268,201-1000,Hybrid,3.5,26
Frontend Developer,Uber,Entry,79288,1001-5000,Remote,2.6,191
Marketing Manager,Mid-size Corp,Lead,158745,51-200,Hybrid,2.2,147
Software Engineer,Amazon,Lead,167849,51-200,On-site,4.0,258
UX Designer,Intel,VP,298640,1001-5000,Hybrid,3.6,73
Machine Learning Engineer,Startup B,Senior,181388,5001+,Remote,2.6,29
HR Manager,Enterprise Corp,Director,145756,5001+,Hybrid,3.0,14
Product Manager,Airbnb,Entry,83031,1001-5000,On-site,4.7,7
Frontend Developer,Startup A,Entry,74921,1001-5000,Hybrid,3.4,8
Backend Developer,Apple,Mid,113721,5001+,On-site,4.0,3
Product Manager,Startup B,Lead,214876,201-1000,Hybrid,2.4,87
Business Analyst,Airbnb,Entry,49871,1-50,On-site,3.0,6
Business Analyst,IBM,Senior,140299,1001-5000,Hybrid,2.8,33
Financial Analyst,Startup B,VP,239694,51-200,Remote,3.7,266
Data Scientist,Salesforce,Senior,156189,5001+,On-site,4.8,483
Financial Analyst,Netflix,Director,184479,201-1000,Hybrid,3.6,107
HR Manager,Startup B,Mid,78916,201-1000,On-site,2.8,509
Frontend Developer,Oracle,Entry,73272,1001-5000,Remote,3.9,115
HR Manager,Google,Lead,124084,1001-5000,Remote,3.8,42
Backend Developer,Startup A,Mid,121009,1001-5000,On-site,4.2,169
Frontend Developer,Airbnb,Entry,75315,1001-5000,Remote,4.7,9
UX Designer,Google,Mid,89712,201-1000,Remote,3.9,65
Operations Manager,Netflix,VP,277876,1001-5000,On-site,3.0,32
Financial Analyst,Mid-size Corp,Mid,76696,201-1000,On-site,4.3,12
Operations Manager,Airbnb,Entry,66858,1001-5000,On-site,3.5,7
Data Scientist,Enterprise Corp,Lead,212957,51-200,Hybrid,3.6,1
Financial Analyst,Startup A,Entry,58209,201-1000,Hybrid,3.8,31
Product Manager,Startup A,Entry,89667,1-50,Remote,4.5,266
HR Manager,Startup B,Senior,98655,201-1000,On-site,3.0,54
Business Analyst,Netflix,Senior,108843,51-200,Remote,4.6,54
Financial Analyst,Apple,Senior,112794,1001-5000,On-site,3.6,30
Product Manager,IBM,Senior,154907,201-1000,On-site,3.4,23
Data Scientist,Enterprise Corp,Senior,184233,1001-5000,Hybrid,3.7,54
Machine Learning Engineer,Mid-size Corp,Senior,177561,201-1000,Hybrid,2.8,32
Business Analyst,Google,Mid,100544,51-200,On-site,4.1,50
Business Analyst,Enterprise Corp,Entry,61352,201-1000,Hybrid,3.5,65
Frontend Developer,Netflix,Mid,94375,5001+,On-site,2.2,177
Product Manager,Google,Lead,203455,5001+,Remote,3.6,8
Marketing Manager,Intel,Senior,119284,51-200,Hybrid,4.1,8
Operations Manager,Google,Director,170279,201-1000,Hybrid,4.8,6
Data Scientist,Meta,Mid,123778,1001-5000,Remote,4.1,1
Marketing Manager,Meta,Senior,135529,1001-5000,Hybrid,3.7,1456
Sales Representative,Netflix,Mid,65048,1001-5000,On-site,3.0,256
Backend Developer,Startup A,Entry,82662,1001-5000,On-site,4.4,14
Marketing Manager,IBM,Mid,107184,1001-5000,Hybrid,4.1,15
Software Engineer,Uber,Mid,132104,201-1000,On-site,4.3,13
Software Engineer,Mid-size Corp,Mid,113046,1-50,On-site,5.0,23
UX Designer,Mid-size Corp,Senior,167279,201-1000,Hybrid,4.1,115
Marketing Manager,Apple,Mid,104442,201-1000,On-site,3.0,4
Financial Analyst,Netflix,Senior,126920,1-50,Remote,4.5,43
DevOps Engineer,Salesforce,Senior,174299,201-1000,Hybrid,3.5,36
Product Manager,Google,Mid,124745,201-1000,Remote,3.9,165
Product Manager,Google,Mid,138728,201-1000,Hybrid,4.2,160
Frontend Developer,Google,Lead,187110,5001+,Remote,4.1,220
HR Manager,Intel,Entry,50615,1-50,Hybrid,2.6,1061
Marketing Manager,Startup A,Senior,113934,1001-5000,On-site,5.0,92
Backend Developer,Startup A,Mid,104071,5001+,Remote,4.7,67
Sales Representative,Oracle,Mid,68385,201-1000,Remote,3.4,47
Data Scientist,Microsoft,Mid,132289,201-1000,Hybrid,4.4,7
Software Engineer,IBM,Entry,78262,201-1000,On-site,4.8,260
HR Manager,Oracle,Mid,80801,201-1000,Hybrid,4.4,7
Data Scientist,Meta,Mid,107689,201-1000,Hybrid,4.0,153
